"id","name","brand","category","subcategory","description","specs","image","keywords"
"","Sample Product (replace this row)","","machinery","Bearings & Seals","Placeholder listing showing how a real product will look - delete this row once you add your own products.","Example spec: value; Another spec: value","","sample,placeholder,example"
"","Sample Product (replace this row)","","medical","Facility Consumables","Placeholder listing showing how a real product will look - delete this row once you add your own products.","Example spec: value; Another spec: value","","sample,placeholder,example"
"","Sample Product (replace this row)","","hotel-supplies","Guest Amenities","Placeholder listing showing how a real product will look - delete this row once you add your own products.","Example spec: value; Another spec: value","","sample,placeholder,example"
"","UltraClean Multipurpose Paper Towels","UltraClean","janitorial","Paper Products","Multipurpose 2-ply paper towels for everyday wiping and cleanup tasks.","Ply: 2; Rolls per Pack: 6; Sheets per Roll: 60; Sheet Size: 226mm x 205mm","ultraclean-multipurpose-paper-towels.jpg","paper towel, multipurpose, ultraclean, wiper"
"","GTF Multifold Paper Towel - White Universal","GTF","janitorial","Paper Products","Universal white multifold paper towels sized to fit standard dispensers.","Item #: 941107; Color: White - Universal; Pack: 16 packs x 250 sheets","gtf-multifold-paper-towel-941107.jpg","multifold towel, paper towel, GTF, 941107, dispenser towel"
"","Bunny Soft 2-Ply Bath Tissue (Case)","Bunny Soft","janitorial","Paper Products","White soft premium 2-ply bath tissue, packed by the case for high-turnover restrooms.","Item #: GTF-001; Ply: 2; Pack: 12 rolls/pack, 8 packs/case; Rolls per Case: 96","bunny-soft-bath-tissue-case-gtf001.jpg","toilet tissue, toilet paper, bath tissue, bunny soft"
"","Kimberly-Clark Professional Touch-Less Towel Dispenser","Kimberly-Clark Professional","janitorial","Paper Products","Touch-less roll towel dispenser for high-traffic restrooms and break rooms.","Item #: 09990-02; Type: Touch-Less Roll Towel Dispenser; Hub Size: 1.5in / 38mm; Color: Smoke; Dimensions: 12.6 x 16.4 x 10.1 in","kimberly-clark-touchless-towel-dispenser.jpg","towel dispenser, touchless dispenser, kimberly clark, hand towel dispenser"
"","K&L Table Napkins & Interfold Hand Towels","K&L","janitorial","Paper Products","Table napkins, interfold hand towels, and jumbo tissue rolls for facility restocking.","Types: Table Napkins, Interfold Hand Towels, Jumbo Toilet Rolls","napkins-interfold-towels-jumbo-tissue.jpg","napkins, interfold towels, jumbo roll, tissue"
"","GTF Coreless Can Liners 33x40 Black","GTF","janitorial","Waste & Liners","Heavy-duty coreless can liners for large waste receptacles.","Item #: 941016; Size: 33in x 40in; Color: Black; Thickness: 19 mic; Pack: 10 rolls x 25 pcs","gtf-coreless-can-liners-33x40-941016.jpg","can liner, trash bag, coreless, 941016, garbage bag"
"","GTF High-Density Can Liners 24x24 Black","GTF","janitorial","Waste & Liners","High-density can liners for wastebaskets and light-duty trash collection.","Item #: 941011; Size: 24in x 24in; Color: Black; Thickness: 6 mic; Pack: 20 rolls x 50 pcs","gtf-high-density-can-liners-24x24-941011.jpg","can liner, trash bag, high density liner, 941011"
