"category","name","description","image"
"machinery","Bearings & Seals","Heavy-duty bearings and sealing solutions for rotating equipment and undercarriage assemblies.","bearings.jpg"
"machinery","Filters","Oil, air, and fuel filters matched to OEM specs for fleets, generators, and fixed plant.","fuelfilter.png"
"machinery","Hydraulics","Hydraulic hoses, fittings, pumps, and components for excavators, loaders, and support equipment.","Hydraulic-Hose-Bank.png"
"machinery","Drive Belts & Chains","Belts, chains, and drive components to keep power transfer reliable under load.","beltandchain.jpg"
"machinery","Engine & Cooling","Engine components, gaskets, and cooling system parts for diesel and industrial power units.","engine.jpg"
"machinery","Undercarriage & Wear","Track, roller, and wear components that extend equipment life between major overhauls.","undercarriage.jpg"
"safety","Hard Hats & Bump Caps","ANSI-rated head protection for construction, industrial, and facility work environments.","hardhat.jpg"
"safety","Work Gloves","General-duty, cut-resistant, and chemical-resistant gloves for daily tasks and specialty jobs.","construction glove.jpeg"
"safety","Eyewear & Face Shields","Safety glasses, goggles, and face shields for impact, splash, and optical clarity requirements.","saftey eyewear.jpg"
"safety","Hi-Vis Apparel","Vests, shirts, and outerwear that keep crews visible on active sites and roadways.","saftey vest.avif"
"safety","Respiratory Protection","Masks, cartridges, and respirators for dust, fumes, and regulated workplace exposures.","masks.avif"
"safety","Hearing & Fall Prevention","Ear protection, harnesses, and accessories that support compliance programs.","hearingprot.avif"
"radiators","Custom & Made-to-Order Radiators","Any size, any fit - radiators fabricated to your exact specifications when a stock unit will not do.","radiator-custom-fabrication-shop.jpeg"
"radiators","OEM Replacement Radiators","Direct-fit radiators for trucks, generators, heavy equipment, and industrial engines.","radiator-oem-replacement.jpg"
"radiators","Radiator Cores & Repair Parts","Cores, tanks, caps, and rebuild components for radiator repair and maintenance.","radiator-cores-and-parts.png"
"site-equipment","Hand & Power Tools","Everyday tools and accessories crews rely on for installation, repair, and build-out work.","power tools.jpg"
"site-equipment","Ladders & Access","Ladders, platforms, and access equipment sized to your site safety requirements.","ladder.png"
"site-equipment","Material Handling","Carts, dollies, and lifting aids that keep materials moving efficiently on site.","material handling aid .jpg"
"site-equipment","Signage & Barriers","Temporary signage, cones, and barriers for traffic control and hazard communication.","tempsignage.png"
"site-equipment","Fasteners & Anchors","Anchors, bolts, and fastening supplies for structural and general construction tasks.","fasteners.avif"
"site-equipment","Job-site Consumables","Tape, markers, tie-downs, and other high-turnover items for daily operations.","general mater.jpg"
"medical","Facility Consumables","Everyday healthcare facility supplies for wards, clinics, and support areas.","facility consumables.jpg"
"medical","Equipment Parts","Replacement components for clinical and support equipment when specs are provided.","equipment replacement.jpg"
"medical","Diagnostic Supplies","Support supplies for labs, diagnostics, and clinical workflow areas.","medical diagnostic.jpg"
"medical","Patient Care","Patient-care related products sourced to your facility requirements.","medical patient care.jpeg"
"medical","Clinical Maintenance","Maintenance parts and consumables that keep biomedical equipment in service.","clinical maintinance.jpg"
"medical","Infection Control","Hygiene and infection-control items for regulated healthcare environments.","medical infection contorl.jpeg"
"janitorial","Cleaning Chemicals","Disinfectants, degreasers, and specialty cleaners for commercial cleaning programs.","cleaning chemicals.jpg"
"janitorial","Floor Care","Machines, pads, and finishes for daily maintenance and deep-clean schedules.","floor care.jpeg"
"janitorial","Mops & Carts","Mops, buckets, wringers, and janitorial carts for efficient crew workflows.","mop cart.jpg"
"janitorial","Paper Products","Towels, tissue, and dispensers for restrooms and common areas.","paper towels.jpeg"
"janitorial","Waste & Liners","Can liners, waste bags, and handling supplies for facility waste programs.","garbage liners.jpeg"
"janitorial","Odor Control","Odor control products and specialty cleaners for high-traffic facilities.","odor control.jpeg"
"hotel-supplies","Guest Amenities","In-room consumables and guest-facing products for hotels and resorts.","hotel guest amm.jpeg"
"hotel-supplies","Linens & Laundry","Housekeeping linens and laundry program supplies for daily turnover.","hotel linens and .jpeg"
"hotel-supplies","Housekeeping Chemicals","Cleaning chemicals sized to guestroom, lobby, and back-of-house programs.","cleaning chemicals.jpeg"
"hotel-supplies","Toiletries & Paper","Toiletries, tissue, and paper products for guest and staff areas.","hotel toilitires and paper.jpeg"
"hotel-supplies","Waste & Housekeeping Tools","Liners, carts, and tools that keep housekeeping teams equipped.","hotel waste and .jpg"
"hotel-supplies","Facility Maintenance","Maintenance consumables for engineering and facilities teams.","hotel facility maintinence.jpeg"
"lubricants-coolants","Oils & Greases","Industrial lubricating oils and greases for engines, gearboxes, and bearing assemblies.","lubricant oil and g.jpeg"
"lubricants-coolants","Hydraulic Fluids","Hydraulic oils and specialty fluids matched to equipment manufacturer requirements.","lubricant hydraluic fluid.jpeg"
"lubricants-coolants","Coolants & Antifreeze","Engine coolants and antifreeze for fleets, generators, and heavy equipment.","coolant lubricant.jpeg"
"lubricants-coolants","Cooling System Parts","Radiator hoses, clamps, and cooling components for maintenance programs.","cooling system parts.jpeg"
"lubricants-coolants","Compressor Oils","Compressor oils and related consumables for industrial air systems.","lube conpresser oil.jpeg"
"lubricants-coolants","Additives & Specialty Fluids","Conditioners, additives, and specialty fluids for extended equipment life.","addaditves lubericant.jpeg"
"office-supplies","Paper Products","Towels, tissue, and dispensers for restrooms, break rooms, and shared office areas.","paper towels.jpeg"
"office-supplies","Facility Consumables","Everyday office consumables for administrative teams, storerooms, and shared workspaces.","facility consumables.jpeg"
"office-supplies","Hand Hygiene","Soap, sanitizer, and restroom hygiene products for offices and customer-facing facilities.","hygiene.jpg"
"office-supplies","Cleaning Supplies","Surface cleaners, disinfectants, and maintenance chemicals for office environments.","cleaning chemicals.jpg"
"office-supplies","Waste & Liners","Can liners and waste handling supplies for desks, kitchens, and facility trash programs.","garbage liners.jpeg"
"office-supplies","Air Care & Odor Control","Odor control and air-care products for lobbies, restrooms, and shared office spaces.","odor control.jpeg"
